Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
42,7,7,115,7,Some Random Commen with Id 42
43,7,7,90,5,Some Random Commen with Id 43
44,7,7,90,5,Some Random Commen with Id 44
45,7,7,10,8,Some Random Commen with Id 45
46,7,7,39,6,Some Random Commen with Id 46
47,8,9,58,4,Some Random Commen with Id 47
48,8,9,136,6,Some Random Commen with Id 48
49,8,9,168,5,Some Random Commen with Id 49
50,8,9,174,0,Some Random Commen with Id 50
51,8,9,76,3,Some Random Commen with Id 51
52,8,9,112,2,Some Random Commen with Id 52
53,8,9,54,3,Some Random Commen with Id 53
54,8,9,78,3,Some Random Commen with Id 54
55,8,9,171,2,Some Random Commen with Id 55
56,9,4,121,6,Some Random Commen with Id 56
57,9,4,195,7,Some Random Commen with Id 57
58,9,4,141,0,Some Random Commen with Id 58
59,9,4,114,1,Some Random Commen with Id 59
60,9,4,107,3,Some Random Commen with Id 60
61,10,4,1,0,Some Random Commen with Id 61
62,10,4,123,0,Some Random Commen with Id 62
63,10,4,161,2,Some Random Commen with Id 63
64,10,4,30,7,Some Random Commen with Id 64
65,10,4,137,6,Some Random Commen with Id 65
66,10,4,56,3,Some Random Commen with Id 66
67,10,4,184,0,Some Random Commen with Id 67
68,11,8,183,0,Some Random Commen with Id 68
69,11,8,70,1,Some Random Commen with Id 69
70,11,8,185,4,Some Random Commen with Id 70
71,11,8,111,8,Some Random Commen with Id 71
72,11,8,41,8,Some Random Commen with Id 72
73,11,8,65,2,Some Random Commen with Id 73
74,11,8,31,2,Some Random Commen with Id 74
75,12,9,118,4,Some Random Commen with Id 75
76,13,7,13,4,Some Random Commen with Id 76
77,13,7,76,3,Some Random Commen with Id 77
78,13,7,39,1,Some Random Commen with Id 78
79,13,7,113,1,Some Random Commen with Id 79
80,13,7,90,3,Some Random Commen with Id 80
81,13,7,37,2,Some Random Commen with Id 81
82,13,7,129,7,Some Random Commen with Id 82
83,14,1,134,7,Some Random Commen with Id 83
84,14,1,107,1,Some Random Commen with Id 84
85,16,5,12,7,Some Random Commen with Id 85
86,16,5,121,5,Some Random Commen with Id 86
87,16,5,187,4,Some Random Commen with Id 87
88,16,5,14,0,Some Random Commen with Id 88
89,17,6,115,9,Some Random Commen with Id 89
90,17,6,124,3,Some Random Commen with Id 90
91,17,6,46,6,Some Random Commen with Id 91
92,17,6,48,3,Some Random Commen with Id 92
93,17,6,169,3,Some Random Commen with Id 93
94,17,6,150,2,Some Random Commen with Id 94
95,17,6,189,4,Some Random Commen with Id 95
96,17,6,125,2,Some Random Commen with Id 96
97,17,6,42,1,Some Random Commen with Id 97
98,18,3,72,3,Some Random Commen with Id 98
99,18,3,136,2,Some Random Commen with Id 99
100,18,3,27,4,Some Random Commen with Id 100
101,18,3,85,2,Some Random Commen with Id 101
102,19,7,151,2,Some Random Commen with Id 102
103,19,7,16,2,Some Random Commen with Id 103
104,20,9,124,9,Some Random Commen with Id 104
105,21,7,127,2,Some Random Commen with Id 105
106,22,3,50,0,Some Random Commen with Id 106
107,22,3,145,3,Some Random Commen with Id 107
108,22,3,90,3,Some Random Commen with Id 108
109,22,3,26,6,Some Random Commen with Id 109
110,22,3,96,9,Some Random Commen with Id 110
111,22,3,55,6,Some Random Commen with Id 111
112,23,2,184,0,Some Random Commen with Id 112
113,23,2,38,7,Some Random Commen with Id 113
114,23,2,61,3,Some Random Commen with Id 114
115,23,2,102,9,Some Random Commen with Id 115
116,23,2,127,5,Some Random Commen with Id 116
117,23,2,13,2,Some Random Commen with Id 117
118,23,2,154,8,Some Random Commen with Id 118
119,24,6,186,6,Some Random Commen with Id 119
120,24,6,41,0,Some Random Commen with Id 120
121,25,8,172,2,Some Random Commen with Id 121
122,25,8,189,1,Some Random Commen with Id 122
123,25,8,23,3,Some Random Commen with Id 123
124,25,8,100,6,Some Random Commen with Id 124
125,26,4,137,0,Some Random Commen with Id 125
126,26,4,17,5,Some Random Commen with Id 126
127,26,4,55,1,Some Random Commen with Id 127
128,26,4,18,0,Some Random Commen with Id 128
129,26,4,22,7,Some Random Commen with Id 129
130,26,4,110,6,Some Random Commen with Id 130
131,26,4,62,8,Some Random Commen with Id 131
132,26,4,68,9,Some Random Commen with Id 132
133,26,4,16,2,Some Random Commen with Id 133
134,27,2,9,7,Some Random Commen with Id 134
135,27,2,199,0,Some Random Commen with Id 135
136,27,2,60,2,Some Random Commen with Id 136
137,27,2,168,5,Some Random Commen with Id 137
138,28,1,47,5,Some Random Commen with Id 138
139,28,1,114,4,Some Random Commen with Id 139
140,28,1,90,4,Some Random Commen with Id 140
141,28,1,96,1,Some Random Commen with Id 141
142,28,1,8,7,Some Random Commen with Id 142
143,28,1,122,7,Some Random Commen with Id 143
144,29,0,94,1,Some Random Commen with Id 144
145,29,0,186,6,Some Random Commen with Id 145
146,29,0,33,8,Some Random Commen with Id 146
147,29,0,185,2,Some Random Commen with Id 147
148,29,0,117,8,Some Random Commen with Id 148
149,30,7,27,5,Some Random Commen with Id 149
150,30,7,168,6,Some Random Commen with Id 150
151,31,2,116,8,Some Random Commen with Id 151
152,31,2,151,1,Some Random Commen with Id 152
153,31,2,63,7,Some Random Commen with Id 153
154,31,2,100,3,Some Random Commen with Id 154
155,31,2,60,5,Some Random Commen with Id 155
156,31,2,16,4,Some Random Commen with Id 156
157,31,2,2,6,Some Random Commen with Id 157
158,31,2,46,6,Some Random Commen with Id 158
159,31,2,139,9,Some Random Commen with Id 159
160,32,2,43,5,Some Random Commen with Id 160
161,32,2,47,7,Some Random Commen with Id 161
162,32,2,107,6,Some Random Commen with Id 162
163,32,2,45,2,Some Random Commen with Id 163
164,33,1,104,6,Some Random Commen with Id 164
165,33,1,126,3,Some Random Commen with Id 165
166,33,1,94,5,Some Random Commen with Id 166
167,33,1,123,0,Some Random Commen with Id 167
168,33,1,184,0,Some Random Commen with Id 168
169,33,1,185,3,Some Random Commen with Id 169
170,33,1,164,6,Some Random Commen with Id 170
171,33,1,52,3,Some Random Commen with Id 171
172,33,1,99,2,Some Random Commen with Id 172
173,34,9,131,0,Some Random Commen with Id 173
174,35,0,114,7,Some Random Commen with Id 174
175,35,0,196,5,Some Random Commen with Id 175
176,35,0,56,9,Some Random Commen with Id 176
177,35,0,9,6,Some Random Commen with Id 177
178,35,0,159,3,Some Random Commen with Id 178
179,35,0,120,5,Some Random Commen with Id 179
180,35,0,130,0,Some Random Commen with Id 180
181,35,0,59,0,Some Random Commen with Id 181
182,35,0,159,2,Some Random Commen with Id 182
183,36,8,178,9,Some Random Commen with Id 183
184,36,8,110,4,Some Random Commen with Id 184
185,36,8,144,1,Some Random Commen with Id 185
186,36,8,29,2,Some Random Commen with Id 186
187,36,8,37,0,Some Random Commen with Id 187
188,36,8,143,5,Some Random Commen with Id 188
189,36,8,106,7,Some Random Commen with Id 189
190,36,8,157,1,Some Random Commen with Id 190
191,36,8,150,7,Some Random Commen with Id 191
192,37,2,184,4,Some Random Commen with Id 192
193,37,2,55,7,Some Random Commen with Id 193
194,37,2,46,5,Some Random Commen with Id 194
195,37,2,145,9,Some Random Commen with Id 195
196,37,2,6,0,Some Random Commen with Id 196
197,37,2,32,7,Some Random Commen with Id 197
198,38,4,20,3,Some Random Commen with Id 198
199,38,4,193,9,Some Random Commen with Id 199
200,38,4,110,5,Some Random Commen with Id 200
201,38,4,161,8,Some Random Commen with Id 201
202,38,4,176,1,Some Random Commen with Id 202
203,39,8,34,9,Some Random Commen with Id 203
204,39,8,21,9,Some Random Commen with Id 204
